,Name,Price,Model Name,Color,SIM Type,Touchscreen,Display Size,Resolution,Operating System,Processor Core,Primary Clock Speed,Internal Storage,RAM,Primary Camera Available,Primary Camera,Secondary Camera Available,Secondary Camera,Full HD Recording,Network Type,Bluetooth Support,Wi-Fi,Audio Jack,GPS Support,Battery Capacity,Weight,Domestic Warranty,Product Rating,Camera Rating,Battery Rating,Display Rating,Design Rating
0,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)  (4 GB RAM)","₹9,799",Galaxy F13,Nightsky Green,Dual Sim,Yes,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Octa Core,2 GHz,64 GB,4 GB,Yes,50MP + 5MP + 2MP,Yes,8MP Front Camera,Yes,"4G, 3G, 2G",Yes,Yes,3.5mm,Yes,6000 mAh,207 g,1 Year,4.4,3.7,4.2,4.0,4.0
1,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)  (4 GB RAM)","₹9,799",Galaxy F13,Sunrise Copper,Dual Sim,Yes,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Octa Core,2 GHz,64 GB,4 GB,Yes,50MP + 5MP + 2MP,Yes,8MP Front Camera,Yes,"4G, 3G, 2G",Yes,Yes,3.5mm,Yes,6000 mAh,207 g,1 Year,4.4,3.7,4.2,4.0,4.0
2,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)  (4 GB RAM)","₹9,799",Galaxy F13,Waterfall Blue,Dual Sim,Yes,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Octa Core,2 GHz,64 GB,4 GB,Yes,50MP + 5MP + 2MP,Yes,8MP Front Camera,Yes,"4G, 3G, 2G",Yes,Yes,3.5mm,Yes,6000 mAh,207 g,1 Year,4.4,3.7,4.2,4.0,4.0
3,"REDMI 10 (Pacific Blue, 64 GB)  (4 GB RAM)","₹9,999",10,Pacific Blue,Dual Sim,Yes,17.02 cm (6.7 inch),1650 x 720 Pixels,Android 11,Octa Core,2.4 GHz,64 GB,4 GB,Yes,50MP + 2MP,Yes,5MP Front Camera,Yes,"4G VOLTE, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,6000 mAh,203 g,1 Year,4.3,3.6,4.1,3.9,3.9
4,"APPLE iPhone 13 (Starlight, 128 GB)","₹58,999",iPhone 13,Starlight,Dual Sim,Yes,15.49 cm (6.1 inch),2532 x 1170 Pixels,iOS 15,Hexa Core,2.4 GHz,128 GB,4 GB,Yes,Call Wait/Hold,Yes,5MP Front Camera,Yes,"4G VOLTE, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,6000 mAh,203 g,1 Year,4.7,4.6,4.4,4.7,4.6
5,"APPLE iPhone 13 (Midnight, 128 GB)","₹58,999",iPhone 13,Starlight,Dual Sim,Yes,15.49 cm (6.1 inch),2532 x 1170 Pixels,iOS 15,Hexa Core,2.4 GHz,128 GB,4 GB,Yes,Call Wait/Hold,Yes,12MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,6000 mAh,173 g,1 Year,4.7,4.6,4.4,4.7,4.6
6,"APPLE iPhone 13 (Pink, 128 GB)","₹58,999",iPhone 13,Pink,Dual Sim,Yes,15.49 cm (6.1 inch),2532 x 1170 Pixels,iOS 15,Hexa Core,2.4 GHz,128 GB,4 GB,Yes,Call Wait/Hold,Yes,12MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,6000 mAh,173 g,1 Year,4.7,4.6,4.4,4.7,4.6
7,"MOTOROLA G32 (Mineral Gray, 128 GB)  (8 GB RAM)","₹11,999",iPhone 13,Pink,Dual Sim,Yes,15.49 cm (6.1 inch),2532 x 1170 Pixels,iOS 15,Hexa Core,2.4 GHz,128 GB,4 GB,Yes,Video Call Support,Yes,12MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,6000 mAh,173 g,1 Year,4.1,3.6,4.1,4.0,4.0
8,"POCO C50 (Country Green, 32 GB)  (2 GB RAM)","₹5,749",iPhone 13,Pink,Dual Sim,Yes,15.49 cm (6.1 inch),2532 x 1170 Pixels,iOS 15,Hexa Core,2.4 GHz,128 GB,4 GB,Yes,Call Wait/Hold,Yes,12MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,6000 mAh,173 g,1 Year,4.3,3.4,4.0,3.8,4.0
9,"realme C33 2023 (Aqua Blue, 64 GB)  (4 GB RAM)","₹9,999",iPhone 13,Pink,Dual Sim,Yes,15.49 cm (6.1 inch),2532 x 1170 Pixels,iOS 15,Hexa Core,2.4 GHz,128 GB,4 GB,Yes,Speaker Phone,Yes,12MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,6000 mAh,173 g,1 Year,4.4,0.0,0.0,0.0,0.0
